IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.161.235,2096,2096,true,HKG,Asia Pacific,Hong Kong,518,1.82
8.210.245.224,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,1.82
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,1.82
47.242.59.216,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,1.81
47.76.33.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,329,1.81
8.219.102.252,2095,2095,false,SIN,Asia Pacific,Singapore,12,1.81
8.210.117.18,2087,2087,true,HKG,Asia Pacific,Hong Kong,631,1.81
47.76.33.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,1.81
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,93,1.80
8.218.243.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,85,1.80
8.218.8.142,80,80,false,HKG,Asia Pacific,Hong Kong,40,1.79
47.242.17.250,8880,8880,false,HKG,Asia Pacific,Hong Kong,44,1.79
8.219.61.52,80,80,false,SIN,Asia Pacific,Singapore,12,1.79
47.242.171.94,8880,8880,false,HKG,Asia Pacific,Hong Kong,72,1.79
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,19,1.78
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,16,1.78
47.237.27.69,2053,2053,true,SIN,Asia Pacific,Singapore,62,1.78
47.236.114.23,2096,2096,true,SIN,Asia Pacific,Singapore,140,1.78
47.237.19.161,8080,8080,false,SIN,Asia Pacific,Singapore,26,1.78
8.218.85.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,1.78
47.242.54.157,2086,2086,false,HKG,Asia Pacific,Hong Kong,52,1.77
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,630,1.77
8.219.77.111,2053,2053,true,NRT,Asia Pacific,Tokyo,191,1.76
8.217.159.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,791,1.76
8.218.65.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,53,1.76
47.243.27.217,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,1.75
8.219.101.72,2095,2095,false,SIN,Asia Pacific,Singapore,12,1.75
47.243.183.127,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,1.75
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,392,1.75
8.210.39.96,80,80,false,HKG,Asia Pacific,Hong Kong,268,1.74
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,72,1.73
8.222.236.229,2083,2083,true,SIN,Asia Pacific,Singapore,107,1.73
8.210.39.96,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,1.72
